OBJECTID,ZIP,LBW,Preterm,TeenBirth,Birth_Rate,F1stTriCare,SHAPE_Length,SHAPE_Area
1,60002,0.084836847,0.134124037,18.5,10.440238634,74.6397000668,215525.155184302,-1149062138.05097
2,60010,0.052208093,0.080827506,1.4,3.21956051873,86.1899458807,178637.109618213,-802735362.801093
3,60015,0.095519241,0.101959104,1.8,7.63526102364,83.5441319354,111400.890557562,-367457579.631725
4,60020,0.077066559,0.087777121,29.9,13.7370681241,79.0753980814,92363.08462543,-166617676.169473
5,60030,0.071310876,0.0866745,6.2,10.5981456664,81.7453156245,247258.224672015,-845517890.63461
6,60031,0.081407401,0.098994319,10.1,10.2650316456,78.3721311589,163995.18156145,-527117600.519725
7,60035,0.067941479,0.08888844,3.6,8.16100814425,84.8218499815,115796.723819509,-345792947.352408
8,60040,0.081060193,0.116596957,21.7,14.2592592593,81.8013786598,25907.3724672055,-17809434.3375795
9,60042,0.057217236,0.103992211,5.2,5.14258999532,74.7627886215,45385.3952256937,-45177572.9803738
10,60044,0.045740741,0.077592593,4.8,8.49426830528,84.4214975845,92539.7087308084,-212777737.946437
11,60045,0.048820455,0.076689063,0.3,4.88643010333,84.5721984482,161457.245301156,-621475385.129652
12,60046,0.068125776,0.085629527,9.1,10.1838836455,80.9231835829,207743.912573801,-730424359.514813
13,60047,0.071366323,0.098070154,3.5,7.82785817484,84.3449779979,176981.859419951,-919381804.827633
14,60048,0.047031619,0.07770726,1.6,6.85527933342,83.4849534992,196071.573674229,-819008275.917019
15,60060,0.073593986,0.09625956,20.6,13.3673281155,78.0878374855,180171.962435806,-617591322.949219
16,60061,0.092853168,0.11023024,8.1,10.8246634027,82.1289832784,102713.138127103,-257421150.568738
17,60064,0.080330389,0.085871161,48.3,15.4579192351,59.121392114,90452.8955856721,-139901116.547721
18,60069,0.057700705,0.08199738,4.3,5.30056619684,82.8997935818,146555.427438204,-170066928.728412
19,60073,0.064898476,0.092917361,42.9,17.0247662785,74.7932885653,209118.936757727,-519658694.929367
20,60083,0.08544719,0.1151015,14.7,9.43941437103,80.7266074908,164753.217611984,-728237916.581256
21,60084,0.064687978,0.101781864,24.3,13.9125228462,79.6981118343,159182.367882784,-505163484.500021
22,60085,0.081798519,0.085460101,52.5,18.0806333671,64.3815698788,137038.94775375,-391907383.860635
23,60087,0.077744483,0.089881576,52.7,14.8631227724,67.7124268478,163122.611792904,-389880041.847101
24,60089,0.076835914,0.099674315,0.8,5.16424586379,84.3906342803,164174.744391824,-227772422.156281
25,60096,0.090144231,0.063301282,13.6,7.74240231548,70.1910012542,62444.4716610905,-141373658.447506
26,60099,0.091061703,0.082217341,35.1,13.4864583662,61.0091910764,188925.390246103,-626264179.765553
27,60041,0.04496564,0.109025661,12.3,11.9872905835,72.7362039832,152724.616882952,-391955019.532177
